"Author.Full.Names","Article.Title","Publication.Year","Abstract","Answer.1","Answer.2","Answer.3","Answer.4","Answer.5","Answer.6","Answer.7","Answer.8","Answer.9"
"Iqbal, Muhammad Zahid; Shahid, Suleman; Naseem, Mustafa","Interactive Urdu Braille Learning System for Parents of Visually Impaired Students",2017,"Braille literacy is one of the core pillars of education for visually impaired children. Previous studies have highlighted the importance of Braille for Visually impaired children by suggesting that students who read Braille outside of the classroom have higher reading speed and fluency. In resource constrained countries, such as Pakistan, the visually impaired students may acquire the knowledge of Urdu Braille at special education schools. However, there is a dearth of resources for the parents of such children, when it comes to learning Urdu Braille. Therefore, we designed a web-based Urdu Braille Translator and interactive Braille learning tool to enhance the Urdu Braille learning experience for parents of visually impaired. The usability study of this tool was conducted with 15 parents of the visually impaired students.","Yes","Accommodation","Web-based Urdu Braille Translator and learning tool","Learning","N/A","15","Pakistan","Urdu Braille","N/A"
"Damit, Dayang Suhaida Awang; Ani, Adi Idzhar Che; Muhamad, Azim Izzuddin; Abbas, Mohd Hussaini; Ali, Fatimah Zaharah","Dual Braille Code Translator: Basic Education Tool for Visually Impaired Children",2014,"Literacy rates of visually impaired people in modern development country are being concerned nowadays. Early education for children with visual impairments is said to be one of the factors. Learning Braille is no longer a boring lesson to visually impaired children. This paper mediated a new pathway to interlink and translates inputs from keyboard into the most used Braille character automatically and enables normal visually people to have real time interaction with visually impaired person. This system also can be switches to Arabic Braille character to introduce them with Quran language. The output was able to represent each alphabet, number and Arabic letter of the Braille symbol by mechanically raising and lowering pins to create the tactile dots of Braille using solenoid. This method is a low cost, portable, and easy to operate. Experiments show that the method can effectively convert a keyboard as an input into Braille symbol.","Yes","Accommodation","Dual Braille Code Translator","Learning","Elementary","N/A","N/A","Basic Education","N/A"
"Gadiraju, Vinitha; Muehlbradt, Annika; Kane, Shaun K.","BrailleBlocks: Computational Braille Toys for Collaborative Learning",2020,"Braille literacy has fallen in recent years, and many blind children now grow up without learning Braille. However, learning Braille can increase employment chances and improve literacy skills. We introduce BrailleBlocks, a system to help visually impaired children learn and practice Braille alongside a sighted parent. BrailleBlocks comprises a set of tangible blocks and pegs, each block representing a Braille cell, and an associated application with games. The system automatically tracks and recognizes the blocks so that parents can follow along even if they cannot read Braille. We conducted a user study to test BrailleBlocks with five families, with five parents and six visually impaired children. The contributions of this work are a novel approach to Braille education toys, observations of how visually impaired children and sighted parents used this system together, their insights on current issues with Braille educational tools, and actionable feedback for future Braille-based learning tools.","Yes","Accommodation","BrailleBlocks for learning Braille","Learning","N/A","11","N/A","Braille literacy","N/A"
"Lee, Garam; Quero, Luis Cavazos; Yang, Jing; Jung, Hyunhee; Son, Jooyoung","Slate Master: A Tangible Braille Slate Tutor for Mobile Devices",2017,"The development of the information technologies has benefited education through the integration of technologies and didactic tools to ease and enhance the education experience in and outside of the classroom. After a survey in several welfare centers, it was revealed that the visually impaired community has yet to benefit from the technology integration. In this work, we introduce Slate Master, a mobile device didactic tool for the visually impaired designed to ease learning how to use the Braille slate. The Braille slate is a tool used by the visually impaired to manually write Braille encoded text on paper. Slate Master is composed by a Braille tutor mobile application and a custom input interface that mimics the use of the Braille slate. We also present the insights obtained from a preliminary study performed with six Braille education experts that led to the design and development of Slate Master.","Yes","Accommodation","Braille slate tutor for mobile devices","Learning","N/A","Six","N/A","Braille education","N/A"
"Gadiraju, Vinitha","BrailleBlocks: Braille Toys for Cross-Ability Collaboration",2019,"Less than 10% of blind people in the United States are Braille readers, yet Braille literacy remains crucial for education and employment [2,3]. BrailleBlocks is a system to help blind or visually impaired children learn Braille with a sighted parent. BrailleBlocks comprises a set of wooden blocks and pegs, each block representing a Braille cell, and an interface with games for parents. We conducted user studies with five sighted parents and six blind or visually impaired children. Children preferred games with sound effects, specifically Hangman and the Animal Name Game. Parents commended the system as a spelling tool and found the screen display of Braille letters to be a helpful reference. Children created new ways to use the system beyond the games we provided, like story-telling and stacking blocks into structures. We identified concrete ways to improve the system, including generating progress reports for parents and creating a portable version.","Yes","Accommodation","Braille learning system with blocks and games","Learning","N/A","11","United States","Literacy","N/A"
"Al-Rajhi, Noha; Al-Abdulkarim, Amal; Al-Khalifa, Hend S.; Al-Otaibi, Hind M.","Making Linear Equations Accessible For Visually Impaired Students Using 3D Printing",2015,"Due to the limitation of the available tools that enhance math education for visually impaired students, this paper proposes the design of an authoring tool that helps math teachers produce accessible learning materials for linear equations in the form of 3D models. The proposed tool will focus on producing 3D models of linear equation graphs printed in predefined plates with proper Braille captioning.","Yes","Accommodation","3D models of linear equation graphs","Learning","N/A","N/A","N/A","Math","N/A"
"Ardiansah, Jevri Tri; Okazaki, Yasuhisa","The Implementation of a Braille to Speech Prototype Application as a Self-study Tool for Visually Impaired People",2021,"Literacy is the ability to read and write. In today's society, literacy is essential for a good education, profession, and quality of life. Braille is a method of literacy for Visually Impaired People (VIP). This paper presents the implementation result of a new approach of braille learning to VIP as a self-study tool. The developed android application assists the VIP in reading braille by producing a speech based on the braille pattern on the book. The input image computing process consists of two main steps: braille cell recognition and braille transcription and then continued into speech synthesis. The system shows a good result in producing correct speech based on the input and it has been implemented and received some advice from the VIP.","Yes","Accommodation","Braille to speech application","Self-study tool","N/A","N/A","N/A","Literacy","Yes, N/A"
"Hoskin, Elizabeth R.; Coyne, Morag K.; White, Michael J.; Dobri, Stephan C. D.; Davies, T. Claire; Pinder, Shane D.","Effectiveness of technology for braille literacy education for children: a systematic review",2024,"Purpose Despite the well-documented importance of braille for people who are blind or visually impaired, few studies explore technology for facilitating braille literacy education. Evaluations of the impact of using assistive devices on academics for children and youth who are blind or visually impaired are needed. This systematic review aimed to evaluate the effectiveness of technology used to support braille literacy education for children and youth. Materials and methods The population of interest was defined as children and youth aged 0-21 years who were blind or visually impaired, learning literacy through braille as their primary medium, and had not previously learned to read through sighted methods. Sixteen academic education, health sciences, multidisciplinary, rehabilitation, and engineering databases were searched. Results Twelve peer-reviewed, English-language articles were included in the review evaluating a total of 176 participants. In general, the quality of research was low with little evidence to support the use of current technology for braille literacy education. Conclusions Standards of technology evaluation for braille literacy must be developed. Furthermore, assistive technologies for braille literacy education for children and youth should provide real-time auditory and tactile feedback, enable independent study/practice and editing of work, and be easy to use, motivational, and engaging.","Yes","Accommodation","Assistive devices for braille literacy","Learning","0-21 years","176","N/A","Braille literacy","N/A"
"Rahman, M. Ashifur; Dhar, K.; Ura, M. Ahsan","Hardware Design and Implementation of Bengali Braille Embosser",2017,"Ensuring education for the disabled people of Bangladesh is a big challenge. Among disabled people of Bangladesh, more than eighty percent are visually impaired. This eighty percent visually impaired people need to be educated by using Braille system. This paper presents hardware design and implementation of a portable Bengali Braille embosser. A simple micro controller is used as a controlling unit of the embosser. The Braille embosser uses octagonal disc type printer head with fixed character pattern. The octagonal disk of the head consists of two parts. Each part contains eight identical patterns of dots that will make the characters of Bengali alphabets. Each disk is driven by a separate stepper motor. A general purpose keyboard with USB interface is used for typing to make the character pattern. Presently the system is implemented for some characters and verified the Braille patterns by the students of Andha School (School for visually impaired people) at Muradpur, Chittagong. They read the printed characters successfully.","Yes","Accommodation","Bengali Braille embosser","N/A","N/A","N/A","Bangladesh","N/A","Yes"
"Al-jaleeli, Yasar A.","Braille - Bar Code - MP3 Method to Teach Blind and Visually Impaired Users Using an Application that Displays Audio Files Using Bar Code and Braille",2019,"The process of education for people with visual disabilities is a challenge for the same person, his family and governmental and non-governmental organizations concerned with a particular school for people with visual impairments. Many countries have signed several agreements to provide a suitable environment for the education of visually impaired people. However, the arrangements have not been implemented in most states. Hired because of several circumstances that we will address later. In this paper, the researcher introduces a new method for teaching visually impaired people how to focus on the sense of hearing and the use of information technology bar code and a program of its design for the presentation of audio materials, where users use a pre-prepared template from the design of Braille code and barcode to access audio documents representing lectures or articles Scientific or audio books according to the plans of education in the school or institutes.","Yes","Accommodation","Braille, bar code, MP3 for audio files","Learning","N/A","N/A","N/A","General education","N/A"
